==PROF== Connected to process 278909 (/home/jakeshea/solar-rtx3090/probe)
==PROF== Disconnected from process 278909
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"3","278909","probe","127.0.0.1","hmma_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, float *, int)","1","7","(32, 1, 1)","(336, 1, 1)","0","8.6","Command line profiler metrics","sm__inst_executed_pipe_tensor.sum.peak_sustained","inst/cycle","84"
"3","278909","probe","127.0.0.1","hmma_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, float *, int)","1","7","(32, 1, 1)","(336, 1, 1)","0","8.6","Command line profiler metrics","sm__inst_executed_pipe_tensor.sum.peak_sustained_active","inst","22,185,506"
"3","278909","probe","127.0.0.1","hmma_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, float *, int)","1","7","(32, 1, 1)","(336, 1, 1)","0","8.6","Command line profiler metrics","sm__inst_executed_pipe_tensor.sum.per_cycle_active","inst/cycle","10.42"
"3","278909","probe","127.0.0.1","hmma_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, float *, int)","1","7","(32, 1, 1)","(336, 1, 1)","0","8.6","Command line profiler metrics","smsp__inst_executed_pipe_tensor.sum.peak_sustained_active","inst","22,170,655.75"
"4","278909","probe","127.0.0.1","hmma_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, float *, int)","1","7","(32, 1, 1)","(336, 1, 1)","0","8.6","Command line profiler metrics","gpu__time_duration.sum","ns","141,152"
"4","278909","probe","127.0.0.1","hmma_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, float *, int)","1","7","(32, 1, 1)","(336, 1, 1)","0","8.6","Command line profiler metrics","sm__inst_executed_pipe_tensor.sum","inst","2,752,512"
"4","278909","probe","127.0.0.1","hmma_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, float *, int)","1","7","(32, 1, 1)","(336, 1, 1)","0","8.6","Command line profiler metrics","sm__inst_executed_pipe_tensor.sum.peak_sustained","inst/cycle","84"
"4","278909","probe","127.0.0.1","hmma_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, float *, int)","1","7","(32, 1, 1)","(336, 1, 1)","0","8.6","Command line profiler metrics","sm__inst_executed_pipe_tensor.sum.peak_sustained_active","inst","22,192,678"
"4","278909","probe","127.0.0.1","hmma_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, float *, int)","1","7","(32, 1, 1)","(336, 1, 1)","0","8.6","Command line profiler metrics","sm__inst_executed_pipe_tensor.sum.per_cycle_active","inst/cycle","10.42"
"4","278909","probe","127.0.0.1","hmma_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, float *, int)","1","7","(32, 1, 1)","(336, 1, 1)","0","8.6","Command line profiler metrics","smsp__inst_executed_pipe_tensor.sum.peak_sustained_active","inst","22,178,090"
"5","278909","probe","127.0.0.1","hmma_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, float *, int)","1","7","(32, 1, 1)","(336, 1, 1)","0","8.6","Command line profiler metrics","gpu__time_duration.sum","ns","141,184"
